"Plant_Simple";"Group";"Plot";"Subplot";"visits";"neigh.visits"
"HOMA";"Butterflies";8;"C3";0;0
"LEMA";"Butterflies";8;"C3";0;0
"ME";"Butterflies";8;"C3";0;0
"PUPA";"Butterflies";8;"C3";0;3
"RAPE";"Butterflies";8;"C3";0;0
"CHFU";"Bees";3;"C3";0;0
"CHMI";"Bees";3;"C3";0;0
"HOMA";"Bees";3;"C3";0;0
"LEMA";"Bees";3;"C3";0;0
"ME";"Bees";3;"C3";0;0
"PUPA";"Bees";3;"C3";0;0
"RAPE";"Bees";3;"C3";0;0
"CHFU";"Beetles";3;"C3";0;1
"CHMI";"Beetles";3;"C3";0;0
"HOMA";"Beetles";3;"C3";0;0
"LEMA";"Beetles";3;"C3";0;6
"ME";"Beetles";3;"C3";1;0
"PUPA";"Beetles";3;"C3";0;0
"RAPE";"Beetles";3;"C3";0;0
"CHFU";"Flies";3;"C3";1;0
"CHMI";"Flies";3;"C3";0;0
"HOMA";"Flies";3;"C3";0;0
"LEMA";"Flies";3;"C3";0;0
"ME";"Flies";3;"C3";2;0
"PUPA";"Flies";3;"C3";0;0
"RAPE";"Flies";3;"C3";0;0
"CHFU";"Butterflies";3;"C3";0;0
"CHMI";"Butterflies";3;"C3";0;0
"HOMA";"Butterflies";3;"C3";0;0
"LEMA";"Butterflies";3;"C3";0;0
"ME";"Butterflies";3;"C3";0;0
"PUPA";"Butterflies";3;"C3";0;0
"RAPE";"Butterflies";3;"C3";0;0
"CHFU";"Bees";5;"C3";0;0
"CHMI";"Bees";5;"C3";0;0
"HOMA";"Bees";5;"C3";0;0
"LEMA";"Bees";5;"C3";0;0
"ME";"Bees";5;"C3";0;0
"PUPA";"Bees";5;"C3";0;0
"RAPE";"Bees";5;"C3";0;0
"CHFU";"Beetles";5;"C3";0;0
"CHMI";"Beetles";5;"C3";0;0
"HOMA";"Beetles";5;"C3";0;0
"LEMA";"Beetles";5;"C3";0;5
"ME";"Beetles";5;"C3";0;0
"PUPA";"Beetles";5;"C3";0;0
"RAPE";"Beetles";5;"C3";0;0
"CHFU";"Flies";5;"C3";0;2
"CHMI";"Flies";5;"C3";0;0
"HOMA";"Flies";5;"C3";0;0
"LEMA";"Flies";5;"C3";0;2
"ME";"Flies";5;"C3";0;0
"PUPA";"Flies";5;"C3";0;0
"RAPE";"Flies";5;"C3";0;0
"CHFU";"Butterflies";5;"C3";0;0
"CHMI";"Butterflies";5;"C3";0;0
"HOMA";"Butterflies";5;"C3";0;0
"LEMA";"Butterflies";5;"C3";0;0
"ME";"Butterflies";5;"C3";0;0
"PUPA";"Butterflies";5;"C3";0;0
"RAPE";"Butterflies";5;"C3";0;0
"CHFU";"Bees";9;"C3";0;0
"CHMI";"Bees";9;"C3";0;0
"HOMA";"Bees";9;"C3";0;0
"LEMA";"Bees";9;"C3";0;0
"ME";"Bees";9;"C3";0;0
