"Day";"Month";"plot";"subplot";"vis";"Plant";"individuals";"seed";"fruit";"flowers";"x_coor2";"y_coor2";"flowers2";"unique_id";"Bee";"Beetle";"Butterfly";"Fly";"<NA>";"distance";"n_neighbors";"n_neighbors_total";"distance_total";"n_neighbors_inter";"n_neighbors_intra"
1;6;7;"C3";1;"LEMA";24;58;2;2;236,5;290,5;2;"7_C3_LEMA_Beetle";0;1;0;0;0;"a";6322;6322;"a";6322;1245
1;6;7;"C4";3;"LEMA";36;58;2;3;236,5;292;3;"7_C4_LEMA_Beetle";0;3;0;0;0;"a";6322;6322;"a";6322;1245
1;6;7;"C5";1;"LEMA";48;49;1;0;236,5;293,5;0;"7_C5_LEMA_Beetle";0;1;0;0;0;"a";6322;6322;"a";6322;1245
1;6;7;"D5";1;"LEMA";72;58;3;1;238;293,5;1;"7_D5_LEMA_Beetle";0;1;0;0;0;"a";6322;6322;"a";6322;1245
1;6;7;"E2";6;"LEMA";32;58;6;3;239,5;289;3;"7_E2_LEMA_Beetle";0;6;0;0;0;"a";6322;6322;"a";6322;1245
1;6;7;"E4";3;"LEMA";52;58;3;0;239,5;292;0;"7_E4_LEMA_Beetle";0;3;0;0;0;"a";6322;6322;"a";6322;1245
1;6;7;"E5";1;"LEMA";52;58;2;0;239,5;293,5;0;"7_E5_LEMA_Beetle";0;1;0;0;0;"a";6322;6322;"a";6322;1245
1;6;8;"B2";5;"LEMA";40;58;5;0;274;270;0;"8_B2_LEMA_Beetle";0;5;0;0;0;"a";6812;6812;"a";6812;888
1;6;8;"B3";2;"LEMA";72;48;4;0;274;271,5;0;"8_B3_LEMA_Beetle";0;2;0;0;0;"a";6812;6812;"a";6812;888
1;6;8;"B4";4;"LEMA";31;58;4;0;274;273;0;"8_B4_LEMA_Beetle";0;4;0;0;0;"a";6812;6812;"a";6812;888
1;6;8;"B5";2;"LEMA";7;58;2;0;274;274,5;0;"8_B5_LEMA_Beetle";0;2;0;0;0;"a";6812;6812;"a";6812;888
1;6;8;"C2";1;"LEMA";31;58;4;0;275,5;270;0;"8_C2_LEMA_Beetle";0;1;0;0;0;"a";6812;6812;"a";6812;888
1;6;8;"C3";1;"LEMA";24;58;3;0;275,5;271,5;0;"8_C3_LEMA_Beetle";0;1;0;0;0;"a";6812;6812;"a";6812;888
1;6;8;"C4";4;"LEMA";42;58;1;0;275,5;273;0;"8_C4_LEMA_Beetle";0;4;0;0;0;"a";6812;6812;"a";6812;888
1;6;8;"C5";3;"LEMA";14;58;2;0;275,5;274,5;0;"8_C5_LEMA_Beetle";0;3;0;0;0;"a";6812;6812;"a";6812;888
1;6;8;"D2";1;"LEMA";38;58;4;0;277;270;0;"8_D2_LEMA_Beetle";0;1;0;0;0;"a";6812;6812;"a";6812;888
1;6;8;"D4";2;"LEMA";21;58;7;0;277;273;0;"8_D4_LEMA_Beetle";0;2;0;0;0;"a";6812;6812;"a";6812;888
1;6;8;"D5";1;"LEMA";25;58;5;0;277;274,5;0;"8_D5_LEMA_Beetle";0;1;0;0;0;"a";6812;6812;"a";6812;888
1;6;8;"D5";1;"PUPA";42;3;9;76;277;274,5;76;"8_D5_PUPA_Beetle";0;1;0;0;0;"a";6797;6797;"a";6797;903
1;6;8;"E3";1;"LEMA";19;58;4;0;278,5;271,5;0;"8_E3_LEMA_Beetle";0;1;0;0;0;"a";6812;6812;"a";6812;888
1;6;8;"E4";3;"LEMA";26;58;3;0;278,5;273;0;"8_E4_LEMA_Beetle";0;3;0;0;0;"a";6812;6812;"a";6812;888
1;6;8;"E5";1;"LEMA";17;58;11;0;278,5;274,5;0;"8_E5_LEMA_Beetle";0;1;0;0;0;"a";6812;6812;"a";6812;888
1;6;8;"E5";3;"LEMA";17;58;11;0;278,5;274,5;0;"8_E5_LEMA_Fly";0;0;0;3;0;"a";6812;6812;"a";6812;888
1;6;9;"B2";4;"LEMA";10;58;12;6;314;286;6;"9_B2_LEMA_Beetle";0;4;0;0;0;"a";2551;2551;"a";2551;229
1;6;9;"B3";3;"LEMA";6;58;15;9;314;287,5;9;"9_B3_LEMA_Beetle";0;3;0;0;0;"a";2551;2551;"a";2551;229
1;6;9;"B4";1;"CHMI";1;14;5;0;314;289;0;"9_B4_CHMI_Beetle";0;1;0;0;0;"a";2759;2759;"a";2759;21
1;6;9;"B4";8;"LEMA";9;58;4;7;314;289;7;"9_B4_LEMA_Beetle";0;8;0;0;0;"a";2551;2551;"a";2551;229
1;6;9;"C2";4;"LEMA";17;58;8;2;315,5;286;2;"9_C2_LEMA_Beetle";0;4;0;0;0;"a";2551;2551;"a";2551;229
1;6;9;"C3";4;"LEMA";7;58;5;0;315,5;287,5;0;"9_C3_LEMA_Beetle";0;4;0;0;0;"a";2551;2551;"a";2551;229
1;6;9;"C4";6;"LEMA";12;58;7;4;315,5;289;4;"9_C4_LEMA_Beetle";0;6;0;0;0;"a";2551;2551;"a";2551;229
1;6;9;"D2";4;"LEMA";9;30;9;0;317;286;0;"9_D2_LEMA_Beetle";0;4;0;0;0;"a";2551;2551;"a";2551;229
1;6;9;"D3";6;"LEMA";4;58;4;0;317;287,5;0;"9_D3_LEMA_Beetle";0;6;0;0;0;"a";2551;2551;"a";2551;229
1;6;9;"D5";1;"LEMA";8;48;15;6;317;290,5;6;"9_D5_LEMA_Beetle";0;1;0;0;0;"a";2551;2551;"a";2551;229
1;6;9;"E3";2;"LEMA";3;58;3;0;318,5;287,5;0;"9_E3_LEMA_Beetle";0;2;0;0;0;"a";2551;2551;"a";2551;229
1;6;9;"E4";2;"LEMA";7;58;10;0;318,5;289;0;"9_E4_LEMA_Beetle";0;2;0;0;0;"a";2551;2551;"a";2551;229
1;6;9;"E5";3;"LEMA";3;58;5;1;318,5;290,5;1;"9_E5_LEMA_Beetle";0;3;0;0;0;"a";2551;2551;"a";2551;229
5;3;1;"B4";1;"CHFU";4;32;19;7;2;5;7;"1_B4_CHFU_Fly";0;0;0;1;0;"a";2704;2704;"a";2704;32
5;3;1;"E3";3;"CHFU";1;25;1;4;6,5;3,5;4;"1_E3_CHFU_Fly";0;0;0;3;0;"a";2704;2704;"a";2704;32
5;3;2;"B2";2;"CHFU";4;32;2;4;35;28;4;"2_B2_CHFU_Fly";0;0;0;2;0;"a";4334;4334;"a";4334;42
5;3;2;"B3";1;"CHFU";1;21;6;7;35;29,5;7;"2_B3_CHFU_Fly";0;0;0;1;0;"a";4334;4334;"a";4334;42
5;3;2;"C2";2;"CHFU";7;32;2;11;36,5;28;11;"2_C2_CHFU_Fly";0;0;0;2;0;"a";4334;4334;"a";4334;42
5;3;2;"D4";1;"CHFU";1;101;2;5;38;31;5;"2_D4_CHFU_Fly";0;0;0;1;0;"a";4334;4334;"a";4334;42
5;3;2;"E3";1;"CHFU";1;32;12;8;39,5;29,5;8;"2_E3_CHFU_Fly";0;0;0;1;0;"a";4334;4334;"a";4334;42
5;3;3;"C3";1;"CHFU";14;13;33;10;81,5;57,5;10;"3_C3_CHFU_Fly";0;0;0;1;0;"a";6726;6726;"a";6726;48
5;3;3;"D4";1;"CHFU";3;32;13;6;83;59;6;"3_D4_CHFU_Fly";0;0;0;1;0;"a";6726;6726;"a";6726;48
