"Day";"Month";"plot";"subplot";"vis";"Plant";"individuals";"seed";"fruit";"flowers";"x_coor2";"y_coor2";"flowers2";"visits.flower";"seed.indv";"unique_id";"Bee";"Beetle";"Butterfly";"Fly";"<NA>";"distance";"n_neighbors";"n_neighbors_total";"distance_total";"n_neighbors_inter";"n_neighbors_intra"
5;5;7;"C2";2;"BEMA";4;224;56;NA;236,5;289;0;Inf;12544;"7_C2_BEMA_Fly";0;0;0;2;0;"a";7298;7298;"a";7298;269
5;5;7;"C4";1;"LEMA";36;116;2;NA;236,5;292;0;Inf;232;"7_C4_LEMA_Fly";0;0;0;1;0;"a";6322;6322;"a";6322;1245
5;5;7;"D4";1;"LEMA";55;116;2;NA;238;292;0;Inf;232;"7_D4_LEMA_Fly";0;0;0;1;0;"a";6322;6322;"a";6322;1245
5;5;7;"E2";1;"LEMA";32;348;6;NA;239,5;289;0;Inf;2088;"7_E2_LEMA_Fly";0;0;0;1;0;"a";6322;6322;"a";6322;1245
5;5;7;"E4";1;"LEMA";52;174;3;NA;239,5;292;0;Inf;522;"7_E4_LEMA_Fly";0;0;0;1;0;"a";6322;6322;"a";6322;1245
5;5;8;"D2";1;"LEMA";38;232;4;NA;277;270;0;Inf;928;"8_D2_LEMA_Fly";0;0;0;1;0;"a";6812;6812;"a";6812;888
5;5;9;"B3";2;"LEMA";6;870;15;NA;314;287,5;0;Inf;13050;"9_B3_LEMA_Fly";0;0;0;2;0;"a";2551;2551;"a";2551;229
5;5;9;"C3";1;"SCLA";6;248;8;NA;315,5;287,5;0;Inf;1984;"9_C3_SCLA_Beetle";0;1;0;0;0;"a";2413;2413;"a";2413;367
5;5;9;"D2";1;"LEMA";9;270;9;NA;317;286;0;Inf;2430;"9_D2_LEMA_Fly";0;0;0;1;0;"a";2551;2551;"a";2551;229
5;5;9;"E2";3;"LEMA";1;116;2;NA;318,5;286;0;Inf;232;"9_E2_LEMA_Fly";0;0;0;3;0;"a";2551;2551;"a";2551;229
6;5;1;"D4";1;"LEMA";45;864,5;13;25;5;5;25;0,04;11238,5;"1_D4_LEMA_Butterfly";0;0;1;0;0;"a";867;867;"a";867;1869
6;5;1;"E2";4;"LEMA";57;994,5;13;30;6,5;2;30;0,133333333333333;12928,5;"1_E2_LEMA_Bee";4;0;0;0;0;"a";867;867;"a";867;1869
6;5;2;"C5";2;"LEMA";125;666;6;15;36,5;32,5;15;0,133333333333333;3996;"2_C5_LEMA_Bee";2;0;0;0;0;"a";1545;1545;"a";1545;2831
6;5;3;"B5";1;"LEMA";28;296,666666666667;5;7;80;60,5;7;0,142857142857143;1483,33333333333;"3_B5_LEMA_Bee";1;0;0;0;0;"a";5887;5887;"a";5887;887
