"Day";"Month";"plot";"subplot";"Group";"vis";"Plant";"individuals";"seed";"fruit";"visits";"flowers";"x_coor2";"y_coor2";"neigh_inter.plot";"neigh_intra.plot";"neigh_intra.3m";"neigh_inter.3m";"neigh_inter.1m";"neigh_intra.1m";"neigh_inter.7.5";"neigh_intra.7.5";"flowers2";"visits.flower";"seed.indv";"unique_id"
1;6;8;"B5";"Beetle";2;"LEMA";7;116;2;2;0;274;274,5;6812;888;169;1680;318;7;17;0;0;Inf;232;"8_B5_LEMA_Beetle"
1;6;8;"C2";"Beetle";1;"LEMA";31;232;4;1;0;275,5;270;6812;888;290;1354;230;31;8;0;0;Inf;928;"8_C2_LEMA_Beetle"
1;6;8;"C3";"Beetle";1;"LEMA";24;174;3;1;0;275,5;271,5;6812;888;299;1334;104;24;3;0;0;Inf;522;"8_C3_LEMA_Beetle"
1;6;8;"C4";"Beetle";4;"LEMA";42;58;1;4;0;275,5;273;6812;888;218;1486;192;42;5;5;0;Inf;58;"8_C4_LEMA_Beetle"
1;6;8;"C5";"Beetle";3;"LEMA";14;116;2;3;0;275,5;274,5;6812;888;174;1517;215;14;8;0;0;Inf;232;"8_C5_LEMA_Beetle"
1;6;8;"D2";"Beetle";1;"LEMA";38;232;4;1;0;277;270;6812;888;235;1571;147;38;1;2;0;Inf;928;"8_D2_LEMA_Beetle"
1;6;8;"D4";"Beetle";2;"LEMA";21;406;7;2;0;277;273;6812;888;191;1566;105;21;6;0;0;Inf;2842;"8_D4_LEMA_Beetle"
1;6;8;"D5";"Beetle";1;"LEMA";25;290;5;1;0;277;274,5;6812;888;182;1570;268;25;11;0;0;Inf;1450;"8_D5_LEMA_Beetle"
1;6;8;"E3";"Beetle";1;"LEMA";19;232;4;1;0;278,5;271,5;6812;888;165;1099;214;19;7;0;0;Inf;928;"8_E3_LEMA_Beetle"
1;6;8;"E4";"Beetle";3;"LEMA";26;174;3;3;0;278,5;273;6812;888;143;1382;180;26;4;2;0;Inf;522;"8_E4_LEMA_Beetle"
1;6;8;"E5";"Beetle";1;"LEMA";17;638;11;1;0;278,5;274,5;6812;888;177;1449;202;17;7;0;0;Inf;7018;"8_E5_LEMA_Beetle"
1;6;9;"B2";"Beetle";4;"LEMA";10;696;12;4;6;314;286;2551;229;55;444;46;10;4;0;6;0,666666666666667;8352;"9_B2_LEMA_Beetle"
1;6;9;"B3";"Beetle";3;"LEMA";6;870;15;3;9;314;287,5;2551;229;64;448;52;6;0;0;9;0,333333333333333;13050;"9_B3_LEMA_Beetle"
1;6;9;"B4";"Beetle";8;"LEMA";9;232;4;8;7;314;289;2551;229;44;492;66;9;4;0;7;1,14285714285714;928;"9_B4_LEMA_Beetle"
1;6;9;"C2";"Beetle";4;"LEMA";17;464;8;4;2;315,5;286;2551;229;66;481;56;17;3;0;2;2;3712;"9_C2_LEMA_Beetle"
1;6;9;"C3";"Beetle";4;"LEMA";7;290;5;4;0;315,5;287,5;2551;229;80;463;58;7;5;0;0;Inf;1450;"9_C3_LEMA_Beetle"
1;6;9;"C4";"Beetle";6;"LEMA";12;406;7;6;4;315,5;289;2551;229;58;525;58;12;1;0;4;1,5;2842;"9_C4_LEMA_Beetle"
1;6;9;"D2";"Beetle";4;"LEMA";9;270;9;4;0;317;286;2551;229;59;600;63;9;4;0;0;Inf;2430;"9_D2_LEMA_Beetle"
1;6;9;"D3";"Beetle";6;"LEMA";4;232;4;6;0;317;287,5;2551;229;68;526;78;4;4;0;0;Inf;928;"9_D3_LEMA_Beetle"
1;6;9;"D5";"Beetle";1;"LEMA";8;720;15;1;6;317;290,5;2551;229;70;546;76;8;1;0;6;0,166666666666667;10800;"9_D5_LEMA_Beetle"
1;6;9;"E3";"Beetle";2;"LEMA";3;174;3;2;0;318,5;287,5;2551;229;33;633;74;3;3;0;0;Inf;522;"9_E3_LEMA_Beetle"
1;6;9;"E4";"Beetle";2;"LEMA";7;580;10;2;0;318,5;289;2551;229;31;663;80;7;0;0;0;Inf;5800;"9_E4_LEMA_Beetle"
1;6;9;"E5";"Beetle";3;"LEMA";3;290;5;3;1;318,5;290,5;2551;229;57;623;73;3;2;0;1;3;1450;"9_E5_LEMA_Beetle"
5;3;1;"B4";"Fly";1;"CHFU";4;608;19;1;7;2;5;2704;32;12;492;79;4;4;0;7;0,142857142857143;11552;"1_B4_CHFU_Fly"
5;3;1;"E3";"Fly";3;"CHFU";1;25;1;3;4;6,5;3,5;2704;32;5;612;62;0;4;0;4;0,75;25;"1_E3_CHFU_Fly"
5;3;2;"B2";"Fly";2;"CHFU";4;64;2;2;4;35;28;4334;42;34;867;95;4;3;2;4;0,5;128;"2_B2_CHFU_Fly"
5;3;2;"B3";"Fly";1;"CHFU";1;126;6;1;7;35;29,5;4334;42;24;958;106;0;17;0;7;0,142857142857143;756;"2_B3_CHFU_Fly"
5;3;2;"C2";"Fly";2;"CHFU";7;64;2;2;11;36,5;28;4334;42;24;795;109;7;4;0;11;0,181818181818182;128;"2_C2_CHFU_Fly"
5;3;2;"D4";"Fly";1;"CHFU";1;202;2;1;5;38;31;4334;42;8;838;75;0;9;0;5;0,2;404;"2_D4_CHFU_Fly"
5;3;2;"E3";"Fly";1;"CHFU";1;384;12;1;8;39,5;29,5;4334;42;4;708;83;0;3;0;8;0,125;4608;"2_E3_CHFU_Fly"
5;3;3;"B3";"Fly";1;"CHFU";1;64;2;1;3;80;57,5;6726;48;21;1553;158;0;4;0;3;0,333333333333333;128;"3_B3_CHFU_Fly"
5;3;3;"C3";"Fly";1;"CHFU";14;429;33;1;10;81,5;57,5;6726;48;8;1624;104;14;6;1;10;0,1;14157;"3_C3_CHFU_Fly"
5;3;3;"D4";"Fly";1;"CHFU";3;416;13;1;6;83;59;6726;48;20;1401;230;3;6;0;6;0,166666666666667;5408;"3_D4_CHFU_Fly"
5;3;7;"E4";"Fly";1;"CHFU";2;102;6;1;3;239,5;292;7455;112;2;1591;215;2;5;0;3;0,333333333333333;612;"7_E4_CHFU_Fly"
5;3;8;"B2";"Fly";1;"CHFU";12;395;5;1;35;274;270;7142;558;139;1494;212;12;5;1;35;0,0285714285714286;1975;"8_B2_CHFU_Fly"
5;3;8;"B4";"Fly";1;"CHFU";13;60;3;1;32;274;273;7142;558;79;1785;190;13;9;0;32;0,03125;180;"8_B4_CHFU_Fly"
